id,title,platform,skills_addressed,difficulty,prerequisites,description,url
c1,"Python for Data Science, AI & Development",Coursera,"Python, Coding, Programming",Beginner,,"Learn python programming basics, control structures, and functions.",https://www.coursera.org/learn/python-for-applied-data-science-ai
c2,Machine Learning Specialization,Coursera,"Machine Learning, Artificial Intelligence, Python, Math",Intermediate,"Basic Math, Python",Foundational AI program created by Andrew Ng.,https://www.coursera.org/specializations/machine-learning-introduction
c3,Practical Deep Learning for Coders,fast.ai,"Deep Learning, Python, PyTorch, Artificial Intelligence",Intermediate,"Python, Programming",Learn deep learning state of the art models quickly and practically.,https://course.fast.ai/
c4,Introduction to Data Analytics,Coursera,"Data Analysis, Excel, Data Visualization",Beginner,,Understand data processes and working with spreadsheets.,https://www.coursera.org/learn/introduction-to-data-analytics
c5,SQL for Data Science,Coursera,"SQL, Databases, Data Analysis",Beginner,,Learn fundamentals of SQL querying and aggregates.,https://www.coursera.org/learn/sql-for-data-science
c6,Data Visualization with Tableau,Coursera,"Data Visualization, Tableau, Data Analysis",Beginner,,Create amazing visualizations and dashboards with Tableau.,https://www.coursera.org/specializations/data-visualization
c7,Introduction to Artificial Intelligence (AI),Coursera,"Artificial Intelligence, AI Basics",Beginner,,Understand what AI is without any coding requirements.,https://www.coursera.org/learn/introduction-to-ai
c8,CS50: Introduction to Computer Science,edX,"Programming, Computer Science, C, Python",Beginner,,Harvard's legendary introduction to the intellectual enterprises of computer science and the art of programming.,https://www.edx.org/course/introduction-computer-science-harvardx-cs50x
c9,The Web Developer Bootcamp,Udemy,"Web Development, HTML, CSS, JavaScript",Beginner,,The only course you need to learn web development.,https://www.udemy.com/course/the-web-developer-bootcamp/
c10,React - The Complete Guide,Udemy,"React, JavaScript, Web Development, Frontend",Intermediate,"JavaScript, HTML",Dive in and learn React.js from scratch!,https://www.udemy.com/course/react-the-complete-guide-incl-redux/
